      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-05-13 19:59:35,    200,      17.95,          19,       0.18,       11.14,        1.06,        1.99,     200,       0
2013-05-13 19:59:56,    400,      20.38,          39,       0.31,       19.63,        1.91,        6.02,     400,       0
2013-05-13 20:00:17,    600,      20.72,          59,       0.37,       28.96,        2.85,       10.75,     600,       0
2013-05-13 20:00:42,    800,      25.79,          78,       0.64,       31.02,        3.02,       19.81,     800,       0
2013-05-13 20:01:10,   1000,      28.01,          98,       0.74,       35.70,        3.50,       26.44,    1000,       0
2013-05-13 20:01:47,   1200,      36.16,         118,       1.09,       33.19,        3.26,       36.31,    1200,       0
2013-05-13 20:02:25,   1400,      37.91,         137,       1.26,       36.93,        3.61,       46.42,    1400,       0
2013-05-13 20:03:09,   1600,      44.03,         157,       1.57,       36.34,        3.57,       56.93,    1600,       0
2013-05-13 20:04:02,   1800,      53.62,         177,       1.96,       33.57,        3.30,       65.82,    1800,       0
2013-05-13 20:05:04,   2000,      61.53,         196,       2.24,       32.50,        3.19,       72.90,    2000,       0
2013-05-13 20:07:04,   2166,     119.99,         213,       3.62,       18.05,        1.78,       65.38,    2166,      34
2013-05-13 20:08:31,   2399,      87.35,         236,       3.36,       27.46,        2.70,       92.36,    2399,       1
2013-05-13 20:10:52,   2600,     141.06,         256,       4.24,       18.43,        1.81,       78.23,    2600,       0
2013-05-13 20:12:47,   2800,     114.58,         275,       3.55,       24.44,        2.40,       86.81,    2800,       0
2013-05-13 20:14:47,   3000,     119.80,         295,       3.44,       25.04,        2.46,       86.05,    3000,       0
2013-05-13 20:17:09,   3195,     142.82,         314,       4.50,       22.37,        2.20,      100.57,    3195,       5
2013-05-13 20:19:15,   3400,     125.95,         334,       3.87,       26.99,        2.65,      104.53,    3400,       0
2013-05-13 20:21:24,   3600,     128.12,         354,       3.92,       28.10,        2.76,      110.10,    3600,       0
2013-05-13 20:22:52,   3800,      88.73,         374,       3.13,       42.83,        4.22,      133.84,    3800,       0
2013-05-13 20:24:45,   4000,     112.32,         393,       3.27,       35.61,        3.50,      116.57,    4000,       0
2013-05-13 20:26:56,   4200,     131.34,         413,       3.86,       31.98,        3.14,      123.42,    4200,       0
2013-05-13 20:28:42,   4400,     105.54,         433,       3.87,       41.69,        4.10,      161.52,    4400,       0
2013-05-13 20:32:19,   4600,     217.91,         453,       5.69,       21.11,        2.08,      120.05,    4600,       0
2013-05-13 20:45:21,    237,      12.97,          23,       4.70,       18.27,        1.77,       85.84,     237,       0
2013-05-13 20:45:44,     89,       7.18,           8,       0.24,       12.40,        1.11,        2.93,      89,       0
2013-05-13 20:45:45,     18,       0.97,           1,       0.36,       18.56,        1.03,        6.70,      18,       0
2013-05-13 20:45:45,      0,       0.33,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2013-05-13 20:45:46,      0,       0.36,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2013-05-13 20:45:46,      0,       0.35,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2013-05-13 20:46:40,    100,      22.85,           9,       1.25,        4.38,        0.39,        5.48,     100,       0
2013-05-13 20:46:51,    200,      11.10,          19,       0.36,       18.02,        1.71,        6.45,     200,       0
2013-05-13 20:47:07,    300,      15.14,          29,       0.60,       19.82,        1.92,       11.82,     300,       0
2013-05-13 20:47:23,    400,      16.21,          39,       0.93,       24.68,        2.41,       23.05,     400,       0
2013-05-13 20:47:45,    500,      22.11,          49,       1.42,       22.61,        2.22,       32.18,     500,       0
2013-05-13 20:48:10,    600,      25.25,          59,       1.78,       23.76,        2.34,       42.40,     600,       0
2013-05-13 20:48:38,    700,      27.88,          68,       2.13,       25.11,        2.44,       53.50,     700,       0
2013-05-13 20:48:58,    800,      19.53,          78,       1.22,       40.96,        3.99,       50.06,     800,       0
2013-05-13 20:49:18,    900,      20.40,          88,       1.29,       44.12,        4.31,       56.98,     900,       0
2013-05-13 20:49:45,   1000,      26.93,          98,       1.88,       37.13,        3.64,       69.67,    1000,       0
2013-05-13 20:50:19,   1100,      33.89,         108,       2.37,       32.46,        3.19,       76.90,    1100,       0
2013-05-13 20:51:03,   1200,      43.81,         118,       3.02,       27.39,        2.69,       82.82,    1200,       0
2013-05-13 20:51:31,   1300,      28.10,         128,       1.94,       46.26,        4.56,       89.55,    1300,       0
2013-05-13 20:52:04,   1400,      33.12,         137,       2.14,       42.27,        4.14,       90.43,    1400,       0
2013-05-13 20:52:35,   1500,      30.50,         147,       2.04,       49.18,        4.82,      100.35,    1500,       0
2013-05-13 20:53:02,   1600,      27.14,         157,       1.83,       58.95,        5.78,      107.79,    1600,       0
2013-05-13 20:54:03,   1700,      60.71,         167,       3.11,       28.00,        2.75,       87.18,    1700,       0
2013-05-13 20:54:37,   1800,      34.42,         177,       2.01,       52.30,        5.14,      105.19,    1800,       0
2013-05-13 20:55:09,   1900,      31.66,         187,       2.08,       60.01,        5.91,      124.96,    1900,       0
2013-05-13 20:56:12,   2000,      63.73,         196,       3.34,       31.38,        3.08,      104.89,    2000,       0
2013-05-13 20:58:03,   2100,     110.87,         206,       4.37,       18.94,        1.86,       82.80,    2100,       0
2013-05-13 21:00:45,   2199,     161.22,         216,       5.56,       13.64,        1.34,       75.83,    2199,       1
2013-05-13 21:02:01,   2300,      76.51,         226,       5.29,       30.06,        2.95,      159.10,    2300,       0
2013-05-13 21:03:28,   2399,      86.40,         236,       4.93,       27.77,        2.73,      136.77,    2399,       1
