      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-05-13 21:44:34,    100,       8.78,           9,       0.09,       11.39,        1.03,        1.07,     100,       0
2013-05-13 21:44:41,    200,       7.52,          19,       0.13,       26.60,        2.53,        3.34,     200,       0
2013-05-13 21:44:51,    300,       9.56,          29,       0.16,       31.38,        3.03,        5.00,     300,       0
2013-05-13 21:45:01,    400,       9.71,          39,       0.22,       41.19,        4.02,        9.14,     400,       0
2013-05-13 21:45:12,    500,      11.67,          49,       0.35,       42.84,        4.20,       15.13,     500,       0
2013-05-13 21:45:24,    600,      11.57,          59,       0.42,       51.86,        5.10,       21.57,     600,       0
2013-05-13 21:45:43,    700,      19.15,          69,       0.77,       36.55,        3.60,       28.11,     700,       0
2013-05-13 21:45:57,    800,      13.35,          78,       0.55,       59.93,        5.84,       32.74,     800,       0
2013-05-13 21:46:12,    900,      15.01,          88,       0.64,       59.96,        5.86,       38.23,     900,       0
2013-05-13 21:46:29,   1000,      17.30,          98,       0.86,       57.80,        5.66,       49.98,    1000,       0
2013-05-13 21:46:48,   1100,      18.74,         108,       1.02,       58.70,        5.76,       59.76,    1100,       0
2013-05-13 21:47:10,   1200,      21.91,         118,       1.26,       54.77,        5.39,       69.14,    1200,       0
2013-05-13 21:47:33,   1300,      22.92,         128,       1.39,       56.72,        5.58,       78.75,    1300,       0
2013-05-13 21:47:56,   1400,      23.80,         138,       1.44,       58.82,        5.80,       84.74,    1400,       0
2013-05-13 21:48:19,   1500,      23.04,         148,       1.42,       65.10,        6.42,       92.75,    1500,       0
2013-05-13 21:48:47,   1600,      27.24,         157,       1.81,       58.74,        5.76,      106.21,    1600,       0
2013-05-13 21:49:16,   1700,      29.67,         167,       1.88,       57.30,        5.63,      107.71,    1700,       0
2013-05-13 21:49:56,   1799,      39.31,         177,       2.30,       45.76,        4.50,      105.45,    1799,       1
2013-05-13 21:50:25,   1900,      29.07,         187,       1.83,       65.36,        6.43,      119.91,    1900,       0
2013-05-13 21:50:52,   2000,      27.18,         197,       1.82,       73.58,        7.25,      134.09,    2000,       0
2013-05-13 21:51:23,   2100,      30.50,         207,       2.09,       68.85,        6.79,      143.99,    2100,       0
2013-05-13 21:51:57,   2200,      34.74,         217,       2.47,       63.33,        6.25,      156.14,    2200,       0
2013-05-13 21:52:36,   2300,      38.77,         227,       2.47,       59.32,        5.86,      146.36,    2300,       0
2013-05-13 21:53:11,   2400,      34.57,         236,       2.42,       69.42,        6.83,      167.79,    2400,       0
2013-05-13 21:53:50,   2499,      38.87,         246,       2.76,       64.29,        6.33,      177.16,    2499,       1
