    100,       8.75,           9,       0.12,       11.43,        1.03,        1.35,     100,       0
    200,       9.21,          19,       0.12,       21.72,        2.06,        2.70,     200,       0
    300,       9.36,          29,       0.18,       32.05,        3.10,        5.63,     300,       0
    400,      10.07,          39,       0.21,       39.72,        3.87,        8.35,     400,       0
    500,      11.05,          49,       0.33,       45.25,        4.43,       14.89,     500,       0
    600,      16.31,          59,       0.86,       36.79,        3.62,       31.77,     600,       0
    700,      16.21,          69,       0.82,       43.18,        4.26,       35.62,     700,       0
    800,      15.79,          78,       0.81,       50.66,        4.94,       41.18,     800,       0
    900,      18.50,          88,       1.04,       48.65,        4.76,       50.53,     900,       0
   1000,      16.74,          98,       0.86,       59.74,        5.85,       51.60,    1000,       0
   1100,      20.09,         108,       1.26,       54.75,        5.38,       68.85,    1100,       0
   1200,      19.59,         118,       1.23,       61.26,        6.02,       75.08,    1200,       0
   1300,      20.48,         128,       1.10,       63.48,        6.25,       70.08,    1300,       0
   1400,      20.77,         138,       1.32,       67.40,        6.64,       88.94,    1400,       0
   1499,      39.63,         148,       1.55,       37.82,        3.73,       58.55,    1499,       1
   1600,      23.95,         157,       1.53,       66.81,        6.56,      102.48,    1600,       0
   1700,      28.05,         167,       1.71,       60.61,        5.95,      103.73,    1700,       0
   1800,      25.24,         177,       1.68,       71.32,        7.01,      119.96,    1800,       0
   1900,      28.32,         187,       1.80,       67.09,        6.60,      120.74,    1900,       0
   2000,      30.07,         197,       2.03,       66.51,        6.55,      134.93,    2000,       0
   2100,      34.57,         207,       2.27,       60.75,        5.99,      138.00,    2100,       0
   2200,      32.98,         217,       2.35,       66.71,        6.58,      156.82,    2200,       0
   2300,      54.58,         227,       2.53,       42.14,        4.16,      106.56,    2300,       0
   2400,      37.98,         236,       2.64,       63.19,        6.21,      166.71,    2400,       0
   2500,      38.82,         246,       2.77,       64.40,        6.34,      178.07,    2500,       0
